hg38.kgXref.geneSymbol,21423L,21424B,21424L,21562L,22288B,22316B
C9orf152,-4.90854699404816,-1.24116146356123,-6.07401964352285,-6.07401964352285,-6.07401964352285,-5.66963985293723
C9orf153,-6.07401964352285,-3.27364809024996,-4.71523554541747,0.427651823981517,-5.56122246408798,-5.68307321968798
C9orf16,4.73170489711558,5.82230844662109,4.96115183863713,4.95609356844787,5.48603296223294,6.03097936800995
C9orf24,-0.103882904296199,1.76764283517115,-4.71545115102189,-3.20596363071498,0.738448406586427,3.27433677172357
C9orf3,4.37900395501254,1.76793439590369,3.98883104197712,4.30206317424167,1.51103756146965,1.62868370021868
C9orf40,5.19687172411292,3.46337993912859,6.69421451106601,5.88235981144599,3.96752189185637,3.77460105792758
C9orf43,-6.07401964352285,-6.07401964352285,-5.2403983991121,0.514128296132556,-1.17286929915496,-5.37579526401967
C9orf50,0.396744968846541,-6.07401964352285,-0.587011136585194,-5.29238619919425,-6.07401964352285,-4.90706566600485
C9orf57,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-5.57568309983364,-6.07401964352285
C9orf64,4.10348428347598,3.83627041295473,4.7315148516886,3.82393356043554,4.13627519896574,4.02077018995139
C9orf66,1.53382367441218,-0.0660907977813467,1.10619145154252,1.295050293495,-0.194067465093683,-0.476152693469023
C9orf72,2.85407812128346,4.38204831272295,3.03559642118964,3.75303135194629,5.36800463654527,5.42782418345354
C9orf78,6.49385623435351,5.79098980055657,7.11501811539583,7.11701934890957,6.1421155304421,6.18159735172533
C9orf85,3.51064927236494,2.69280323897027,3.20340274679704,2.28602304156918,3.32681080395716,2.19360685152177
C9orf92,-6.07401964352285,-6.07401964352285,-2.01717073963969,-6.07401964352285,-6.07401964352285,-6.07401964352285
CA1,2.44245991581005,0.71095652621838,6.20002274794943,1.40845201031001,-3.22827704876071,-3.73879651850307
CA10,-2.33657454619711,5.02734261855306,-2.59272181842613,-1.25111008481131,2.89954018997729,3.47828439444629
CA11,2.33659517398701,4.44143530987454,1.28078641609123,-1.61441155526119,3.5701504398331,3.33503919565188
CA12,5.30532637769606,4.75386923441451,3.82311405234165,3.93782502088023,4.33933743169383,4.79784569098144
CA13,1.23816810949635,-4.3979288063389,0.696758811940256,2.33080575523489,-0.67168235283498,-0.7982411591385
CA14,3.32929601262886,1.16990458365444,2.58467353013716,3.17743299184813,0.976875400648522,0.818856402029501
CA15P1,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-5.57568309983364,-6.07401964352285
CA2,7.11776790613682,2.50562725115202,7.29594502557621,5.67440113718291,1.03857861691372,0.987692172735816
CA3,-3.84095078883756,-5.63959697292116,0.247862620334041,1.94464291192278,-0.715741657166638,0.248960205022656
CA5A,4.16753082330441,-0.877986764171493,3.57792568378462,4.47085221638547,-0.422727090098862,-0.199240992563704
CA5B,1.01197350006599,2.69939643093416,1.53952783086462,3.19227352444586,2.99042950357043,2.60895960878176
CA5BP1,1.73317789145904,2.5163155353867,2.42713210241984,2.75653809200015,3.68356396904535,2.80116508808437
CA6,-2.80448412251672,-0.746704537416076,-3.73689738256931,-0.396671828567058,-0.63012347658711,-2.53694366655538
CA8,3.25920586114094,2.51881653999835,4.95697907373844,5.16498699480189,4.65696767955676,1.72437026067367
CA9,0.00544240577281175,-6.07401964352285,-0.164128842511482,-4.44162618929206,-1.17286929915496,-6.07401964352285
CAAP1,4.70359030548446,4.22433663547043,4.74847499660296,4.30824690212612,4.02997279303388,4.14911052642707
CAB39,4.95501199589368,6.38789477540808,5.69990911234591,5.08565809979904,7.04932228390406,6.67378970839629
CAB39L,1.45605257824145,5.02294984071602,2.11561267411208,1.07997189078185,5.34319007387738,5.37836536650101
CABCOCO1,-4.91453475895966,0.116412917162609,-1.17003356310007,-4.8108773925759,-1.09531112780161,1.2085396944814
CABIN1,3.85442409168154,5.32728189111426,4.5367655486819,4.28536645607769,5.48526744083038,5.2412979924759
CABLES1,2.06075205851629,2.50031758753815,2.81771869649413,3.75636329625719,2.64933662532357,2.47601147033961
CABLES2,2.97997116912023,4.43588442982677,3.47881231074213,3.30857282818735,5.13215845269441,4.63263635413407
CABP1,0.354651019558381,2.59307428587469,-0.864357296672078,-2.1643949877691,0.214371710851611,3.62565398553988
CABP4,-1.07960704383723,0.705857002147326,2.00905357099167,1.72650537011885,-4.37462543215659,-1.50542739740609
CABP5,-6.07401964352285,-5.63959697292116,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285
CABP7,-4.88789680752402,3.38420876727696,0.62043164956415,-1.92628857680238,2.38576689598104,3.72798226637274
CABS1,-4.28010165826153,-6.07401964352285,-5.2403983991121,0.691698276154542,-5.57568309983364,-6.07401964352285
CABYR,-3.50269260482411,2.44679047992516,-2.58834860171001,-1.69776889448927,3.36373410077491,3.35802165533198
CACFD1,4.02723439546896,5.00114718322043,3.40366935797135,3.85525437632276,4.76814307782467,4.93169695060653
CACHD1,3.38592900304623,4.99726372950582,1.11282414977694,3.02340751465858,4.29863525989991,4.32868099994302
CACNA1A,3.04557966207306,4.37363357557438,2.43612098490705,3.41138333789429,5.36537039776611,4.17233350847935
CACNA1B,-0.922416228204346,4.68144079488212,-2.01717141764513,-1.14784139077942,4.70552095113478,4.54143411885161
CACNA1C,0.236042590693341,3.23710230746483,-0.433498026141564,-1.52540518331547,2.08633255060591,2.72264212074097
CACNA1D,0.78396831756245,2.05100928243144,-2.29461584786531,2.2231368390664,2.15789203435263,2.01067901853694
CACNA1E,-0.103884237675283,5.9668093376999,-0.10155401980447,1.19586044271625,7.00652711096263,6.21729183159264
CACNA1F,-3.2322713349201,-6.07401964352285,-1.37197732780004,-3.36406533178002,-6.07401964352285,-3.28453805010262
CACNA1G,1.19714671683515,3.87280331384803,0.279297931329575,0.153196407144409,1.78434758256144,2.10120144863458
CACNA1H,1.92122935485399,5.59381630449563,0.481738207392482,3.84145004088969,4.30892571150379,5.21497985244777
CACNA1I,2.15274927097725,3.0742239162737,1.62829546686386,0.158824467469906,0.458821925167504,2.2225850226898
CACNA1S,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-2.01412889115675,-6.07401964352285
CACNA2D1,0.765277931878015,6.10724251217669,1.11281865095185,2.20089367214794,7.2586342527652,6.63407169924945
CACNA2D2,0.0315258969533248,4.27146171110787,0.0190571523133406,-2.10115388575215,1.93280857867815,2.41331579656945
CACNA2D3,-2.09168141843465,3.48235549839456,-0.835186809086524,0.969460983179304,5.02741845074851,3.39646178420648
CACNA2D4,0.167124225946343,-5.84051810726056,1.1660407962702,1.83545754573148,-5.37902730728025,-5.52126868880223
CACNB1,1.0210124466252,5.37864485940784,-1.20822402702082,0.58580248751091,5.46420754717504,5.29898454728048
CACNB2,3.87431737838907,4.62500583797956,2.81234586409975,4.52270580418173,3.46613655484112,3.59081233303445
CACNB3,2.56989264630545,6.45215374913617,1.40022599966332,2.12320750934877,6.42017489165169,6.21029330121412
CACNB4,-0.655696729003986,4.42644263021599,0.339812126303491,1.25846150662548,4.92371382249915,5.12264426906792
CACNG1,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-0.556099044484374
CACNG2,-1.78812562864362,4.46206751874506,-1.50827390355641,0.73737770025946,3.04043845917848,2.7717797527492
CACNG3,-4.91453475895966,1.89246440025784,-3.20723338740392,-2.23590445659999,3.95276229175648,3.27812465598793
CACNG4,1.38701994436948,7.37663055433433,0.65129220463693,1.43078460332715,6.62775612295664,6.73099918014626
CACNG6,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-2.42827501591459
CACNG7,-1.08105122259026,5.22456822209802,-0.776626449763917,0.0471779737950036,5.93622526970007,5.74586944736182
CACNG8,1.84557667223327,4.46728827717294,-0.214653357458336,1.19879848345118,4.77747318398139,4.47470715422477
CACTIN,4.02154406298822,4.80323706728524,4.37432022351643,3.99575442595753,4.43970753554406,5.01078695855698
CACUL1,4.7978658558183,5.46123476369816,5.18870824977289,5.42801387961106,4.95629171060998,5.10812461407806
CACYBP,6.29945335160895,5.93678410105297,6.75129976802361,6.09380194961666,6.04565832646401,5.91899966636914
CAD,5.145548864054,4.3569343588316,4.94508482296203,4.63897796113441,4.64182931676428,4.37759700804856
CADM1,4.93645533663,7.18985673818566,4.34435200432258,5.33200666701023,7.73905675916324,6.65964938812984
CADM2,-0.0345905679848984,5.43234413647307,-0.263016595379347,0.841447236558554,5.83127686943514,5.9375588971177
CADM3,0.374952686347426,6.99257242225317,1.848923235708,1.69897240846366,7.46903717653136,6.81645376179989
CADM4,4.55189755404983,6.96085099467892,3.91832553032504,3.26712725646446,7.161875055743,7.05968364041325
CADPS,2.09836499068687,6.37664553246124,0.754412838938968,1.95664250094108,6.96222725644141,6.23736994537512
CADPS2,4.55703400344996,3.38631874896112,3.29136861072496,3.89382520799987,2.41927768596952,1.44478596922613
CAGE1,-6.07401964352285,-5.03528917251446,-6.07401964352285,-0.105124395615645,-2.24592792091325,-5.67973473677319
CALB1,-0.49256117124018,3.6901665476451,-3.37912354438279,-1.86271485748637,1.69974129860468,3.61627537795353
CALB2,-3.8409492744044,3.76153275725602,-3.29451870580309,-2.73756968639853,1.59396041865238,1.71221627912153
CALCB,-1.88238815472506,-1.65586636403847,-6.07401964352285,-6.07401964352285,-6.07401964352285,-1.52495189002329
CALCOCO1,4.74949506458406,5.00337638251444,5.42195478211922,5.42017833239381,5.38099658064464,5.59187958660567
CALCOCO2,5.45579637343238,3.44542353008784,5.7185521349209,5.90882030606361,3.52823088393535,3.24738314993145
CALCR,-6.07401964352285,-1.60920786674233,-6.07401964352285,-6.07401964352285,-6.07401964352285,-1.26259800354894
CALCRL,2.67949136583817,0.769657263907042,3.02535315701151,2.31725026939523,2.47286236095191,0.418875323981287
CALD1,7.98788981296969,5.45404854600024,7.09473226375435,7.47906263233058,5.95243883776639,5.41350827059995
CALHM1,-6.07401964352285,-0.476043332056198,-5.2403983991121,-5.28861329229312,-5.57568309983364,-6.07401964352285
CALHM2,1.16935183342528,1.84088485031879,-0.378027260244688,0.663579862288282,2.35164613772064,1.03399727263944
CALHM5,-4.28010165826153,-1.15054863279725,0.972148058881667,-1.40105237155372,1.05569194039097,-1.62418779169657
CALHM6,0.765277931878015,-6.07401964352285,2.02386193031768,2.61057328351785,-0.604091090931877,-0.363716665436724
CALM1,7.69778870157292,9.32617176857187,8.11799204138225,7.74344859125795,10.3415182790847,10.4477915302632
CALM2,8.53924142937302,9.71351961776372,8.85015877557693,8.46006277406419,9.24420495090443,9.66310608970126
CALM2P2,-4.90128852219949,-4.60849496308727,-5.23904404823605,0.626740496616506,-5.5714502460206,-5.68143721870739
CALM2P3,-6.07401964352285,-5.6393681706733,-6.07401964352285,-6.07401964352285,-5.20549819505572,-5.68280955439388
CALM2P4,-6.07401964352285,-5.63957071508234,-5.2403983991121,-6.07401964352285,-6.07401964352285,-5.683062946112
CALM3,8.21648982552505,8.9264289151023,8.64782979163729,8.12381928559015,8.95507589325883,9.23091879738192
CALML3,-6.07401964352285,-6.07401964352285,-1.71268455109964,-6.07401964352285,-5.57568309983364,-6.07401964352285
CALML4,3.72409327685526,-1.23018072503636,1.95656421710319,1.78305642765628,-6.07401964352285,-0.586665534738258
CALML6,-4.91453475895966,-6.07401964352285,-6.07401964352285,0.595757164146731,-6.07401964352285,-5.37579526401967
CALN1,-1.69117473640191,3.47716880759963,-0.14784993588858,-0.490399512407686,6.03962680895751,4.37159284996868
CALR,10.0119268310239,6.84441277579789,8.57213144897584,8.31509742617911,7.0995248115817,6.62146634861786
CALR3,-6.07401964352285,-1.28199123902424,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285
CALR4P,-0.0757653535004724,-6.07401964352285,-5.2384305787298,-1.2158601505099,-6.07401964352285,-6.07401964352285
CALU,7.00195532997994,5.53770050872534,6.40848031053782,5.82730963533064,6.01632563302797,5.68498337950039
CALY,-2.20893919677271,4.70989480128868,-2.49506369302199,-1.08288508881003,2.40433368418086,4.61043278084412
CAMK1,3.8304787016786,3.63308580301243,4.51909572915787,3.85076896573724,3.97377683899087,4.47439084969285
CAMK1D,2.79620578786135,5.77806057749682,2.94922484653944,3.26490783199346,6.2577130402953,6.14222832926221
CAMK1G,-3.50474578684642,3.10341058736632,-4.33138423258612,-2.64089248066509,2.81040544256588,1.88277111457885
CAMK2A,0.618120932270837,4.42604644168168,-1.32926378285925,-1.29997671805981,1.99185958893704,3.08360690900622
CAMK2B,1.0970878950209,6.27617111458262,0.145582644285454,1.91711969607547,6.26981005259114,6.49378457504807
CAMK2D,5.64891982841494,5.15573630509771,5.14054112611024,4.66451133223224,5.25454788547313,4.62130592270457
CAMK2G,3.39969978300163,5.51857257539962,3.13643657844445,4.19839122417739,5.6893320672629,6.26297996439454
CAMK2N1,6.91306349592852,8.03660037077129,5.72228959860488,6.53011553468319,8.2219583154492,7.90942638393825
CAMK2N2,-3.22910167069515,4.40742572891832,-2.58646108029561,-1.653708009184,2.04421978155231,3.35953317026152
CAMK4,2.6614099695935,5.74085986562649,1.26154632865102,2.5609916381882,6.26051017283016,6.66602543762985
CAMKK1,-0.419327145852773,2.81135219976566,-2.01626927431254,1.38620791151744,3.69693732622739,4.02728032900671
CAMKK2,4.77687145367455,5.13173658087435,4.71037307349371,5.04190797628252,6.88354046146482,6.37645649780609
CAMKMT,3.18270776526208,2.01108675441674,3.07393412082769,3.251470395799,2.15539314439571,1.83312877479789
CAMKV,0.635233328070478,6.05308422679797,0.913832092016442,1.99063752755935,7.52354995055834,7.86041895062713
CAMLG,5.05363885510359,5.70926198978466,4.65682994712042,4.64424165467795,6.05326794308793,6.1582404589107
CAMSAP1,3.83789018093576,6.66198798424476,3.9172143652252,3.89584203567378,7.20389099636308,6.7572976071053
CAMSAP2,4.13867129643835,7.13128190255407,3.60805781227903,3.8171892987874,7.71413242350576,7.37561573645286
CAMSAP3,4.64670890219185,6.07690955591864,3.37608362780412,4.34781213328102,6.44846896753584,6.01292694982528
CAMTA1,5.46017137268084,6.97438055253099,5.4450539188302,5.44791306616343,7.04021520996422,6.93776230737142
CAMTA2,3.52586052389713,4.21666913203352,3.69210164280685,3.886745867533,4.54030310348024,4.59037408105595
CAND1,6.3700337837385,7.57424655555597,6.4353962244055,6.23971594009129,7.99683189741091,7.74349703984107
CAND2,-3.84043218842885,3.79705859382241,0.716589836135888,0.347416980747759,3.52082984021725,3.13570304959306
CANT1,4.31759869657374,4.4951421324355,4.0923962837938,3.81931421720646,4.44657216611377,3.3722068934189
